4s,3p,3d,4d,5d,4f,oxidation_state,temperature,time,CellV [A^3],Df,NASA [m^2/cm^3],density [g/cm^3],total_POV_gravimetric,mc_CRY-chi-1-all,mc_CRY-chi-3-all,mc_CRY-Z-2-all,D_mc_CRY-S-2-all,sum-mc_CRY-chi-0-all,sum-mc_CRY-Z-1-all,lc-Z-2-all,lc-alpha-3-all,D_lc-chi-1-all,D_lc-chi-3-all,D_lc-Z-1-all,D_lc-T-3-all,D_lc-alpha-2-all,func-Z-0-all,func-T-3-all,D_func-chi-1-all,D_func-chi-2-all,D_func-T-3-all,D_func-S-1-all,sum-lc-T-3-all,sum-D_lc-T-2-all,sum-D_lc-S-1-all,sum-func-alpha-3-all,sum-D_func-T-1-all,sum-D_func-T-2-all,sum-D_func-T-3-all,sum-D_func-alpha-2-all,sum-f-lig-T-3,MNC,pure_CO2_kH,pure_CO2_widomHOA,pure_methane_kH,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_580000,logKH_CH4,solvent1,solvent2,solvent3,additive,param3,param4,param5,additive_category,HBA,HBD,LogP
2,6,10,10,0,0,3,105,36.0,1342.32,4.25139,0.0,1.35435,0.309758,48.9856,18.156,1176.0,2.6,9.5052,9408,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-6.0,-0.12,0.0,0.0,0.0,0.0,0.0,1134,-0.6,0.000522472,-28.84093509,4.56e-05,4.296719913,4.790712729,-4.341191379,702,31374,0,944,0.389716841,-0.024257543,-0.004702983,2,4,4,0.4794000000000001
2,6,10,0,0,0,2,85,72.0,8179.71,3.23478,385.177,1.35024,0.114246,22.044,45.3255,900.0,2.7,21.78,7440,105.0,135.0,0.935,1.975,2.0,-1.5,-4.0,56.5,22.75,1.1225,2.21,-2.25,0.055,64.0,-8.0,-0.32,2036.56,-8.0,-6.0,-18.0,-70.2,6280,-0.502,0.000287105,-34.72211825,3.33e-05,1.710789918,2.477552312,-4.477354968,962,6228,0,0,-0.110283159,-0.003003152,0.082883502,1,6,4,3.6374000000000013
2,6,10,0,0,0,2,120,120.0,2534.87,5.66826,0.0,0.916107,0.577247,27.72,55.209,1080.0,3.24,10.89,4680,109.2,125.868,0.908,1.858,2.0,-3.0,-5.2,56.5,26.0,1.355,1.18,-1.0,0.15,27.2,-6.4,-0.16,1209.2,0.0,-4.0,-4.0,-35.4,2216,-0.453,8.26e-05,-20.64024519,2.28e-05,1.244733807,5.738839213,-4.642965151,6228,0,0,0,-0.110283159,-0.089079437,0.295377468,1,4,3,1.7303
2,6,7,0,0,0,2,110,48.0,5000.23,6.60227,0.0,0.678974,1.03471,25.8688,36.1806,567.0,1.715,28.2752,6912,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,49.0,24.33333333,0.49,1.586666667,0.0,-0.02,24.0,-8.0,-0.16,1181.04,-1.333333333,-4.0,0.0,-37.73333333,3056,-0.511,0.000246622,-27.84861822,9.3e-06,2.268467981,3.932630166,-5.031313494,12051,0,0,176,0.389716841,-0.027977497,0.04034931,2,7,4,1.7271
2,6,10,0,0,0,2,130,72.0,3711.81,5.082,0.0,1.54253,0.156937,22.704,50.25075,2745.0,2.76,43.56,15360,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,64.0,6.0,0.89,0.89,-4.0,-0.04,48.0,-16.0,-0.32,958.24,-16.0,-16.0,-32.0,-48.0,4704,-0.791,0.000466582,-36.51228514,1.71e-05,2.272302597,1.833256907,-4.766384636,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1,3,3,2.4482
1,6,10,0,0,0,2,70,48.0,33902.1,10.38341,0.0,0.51708,1.41657,26.144,45.524,696.0,2.44,86.64,22272,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,56.5,26.0,1.355,1.18,-1.0,0.15,96.0,-32.0,-0.64,4836.8,0.0,-16.0,-16.0,-141.6,20736,-0.449,2.52e-05,-16.58162707,9.37e-06,0.370037034,3.921280481,-5.028242797,0,0,0,944,-0.110283159,0.083073132,-0.129610464,2,6,6,4.538100000000003
1,6,10,0,0,0,2,80,48.0,3203.73,9.78079,0.0,0.608967,1.20289,25.384,53.124,870.0,3.05,14.44,3596,110.25,119.065,0.9125,1.6675,2.0,-3.0,-4.025,56.5,16.5,1.18,2.02,1.0,-0.05,26.0,-6.0,-0.16,773.84,-4.0,6.0,4.0,-23.8,1728,-0.421,2.11e-05,-15.10522462,8.28e-06,0.318710357,3.529911898,-5.081863725,962,6228,0,0,-0.110283159,0.083073132,-0.129610464,1,4,2,1.2687
2,6,5,0,0,0,2,120,72.0,8305.91,2.41936,654.629,1.12599,0.209966,26.784,45.694,1100.0,4.546666667,28.83,12000,121.1,183.978,0.926,2.048,2.0,-2.5,-6.73,45.2,13.2,0.944,1.616,0.8,-0.04,228.0,-40.0,-0.8,3095.36,-16.0,24.0,16.0,-95.2,11032,-0.463,0.000191879,-27.04443067,4.72e-05,1.573263971,2.949619149,-4.3263286,6228,0,0,0,-0.110283159,-0.089079437,0.295377468,1,5,0,5.0583000000000045
1,6,10,0,0,0,2,25,240.0,6021.6,3.91744,22.4523,0.930353,0.3719232,22.952,61.95266667,2378.0,2.44,43.32,9744,78.0,73.92333333,0.92,1.963333333,2.0,0.333333333,-1.866666667,0.0,0.0,0.0,0.0,0.0,0.0,52.0,-12.0,-0.48,0.0,0.0,0.0,0.0,0.0,8256,-1.35,0.000576694,-38.71036813,1.41e-05,2.550991714,4.255010546,-4.85038989,887,0,0,0,0.889716841,0.049058569,-0.413391639,1,4,0,9.45212
2,6,7,0,0,0,2,150,72.0,1733.48,3.17559,58.2051,1.43009,0.0578426,32.336,82.1748,2268.0,2.45,14.1376,4320,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,64.0,28.0,1.78,5.15,0.0,-0.08,24.0,-8.0,-0.16,1100.28,-12.0,-8.0,0.0,-65.6,2736,-0.613,0.000210088,-35.09973799,9.77e-06,1.493597432,1.584722998,-5.010147223,962,6342,887,14798,-0.110283159,0.083073132,-0.129610464,0,4,2,2.930900000000001
2,6,7,0,0,0,2,85,48.0,3185.29,3.77144,0.0,1.53468,0.196327,32.336,73.3106,1822.5,2.205,56.5504,17280,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,-16.0,-0.32,0.0,0.0,0.0,0.0,0.0,3024,-0.535,0.00233643,-39.98316803,2.05e-05,3.315018258,2.959025361,-4.688191061,962,0,0,0,0.389716841,0.061818741,-0.217196949,1,4,4,0.4794000000000001
2,6,10,10,0,0,2,100,72.0,4402.56,4.86289,0.0,1.1818,0.362886,28.392,59.53025,3888.0,3.905,22.8488,14976,105.0,135.0,0.935,1.975,2.0,-1.5,-4.0,32.0,3.0,0.445,0.445,-2.0,-0.02,64.0,-8.0,-0.32,479.12,-8.0,-8.0,-16.0,-24.0,5144,-0.524,0.00326901,-42.11397919,2.27e-05,3.14040296,4.36592858,-4.644830183,6228,702,0,0,-0.110283159,-0.089079437,0.295377468,1,2,0,2.1435999999999993
2,6,10,10,0,0,2,85,72.0,1828.03,4.8064,0.348487,1.09146,0.319224,29.068,34.6788,1152.0,2.84,5.7122,3840,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,59.71428571,17.42857143,1.155714286,1.055714286,-2.285714286,0.068571429,12.0,-4.0,-0.08,448.1542857,-1.714285714,-2.857142857,-4.571428571,-15.25714286,2044,-0.358,7.9e-05,-23.52616874,1.39e-05,1.018583012,3.667249319,-4.855808888,962,6228,0,944,-0.110283159,-0.003003152,0.082883502,2,6,6,2.984000000000001
2,6,10,10,0,0,2,180,120.0,1789.62,3.02211,6.89893,2.23068,0.0,33.5296,69.6618,4608.0,5.68,22.8488,17664,143.5,214.205,0.935,0.98,2.0,0.0,-8.85,64.0,5.0,0.89,0.89,-3.0,-0.04,76.0,-20.0,-0.32,792.88,-16.0,-16.0,-24.0,-48.0,1360,-0.484,1.68e-05,-29.99477399,7.97e-07,0.184754571,0.328383532,-6.098677928,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1,3,3,0.9295
1,6,10,0,0,0,2,115,23.0,17841.8,6.60024,0.0,0.629251,1.14835,26.144,45.524,696.0,2.44,86.64,22272,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,64.0,28.0,1.78,5.15,-2.0,-0.08,48.0,-16.0,-0.32,2298.08,-24.0,-8.0,-16.0,-131.2,11664,-0.426,2.55e-05,-16.49108806,8.86e-06,0.373544956,4.200222242,-5.052362903,962,6228,0,0,0.389716841,0.061818741,-0.217196949,1,9,6,4.612800000000003
2,6,5,0,0,0,2,85,72.0,2767.43,3.50411,850.721,1.22931,0.253914,25.327,47.802,1225.0,2.48,19.22,7600,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,32.0,3.0,0.445,0.445,-2.0,-0.02,24.0,-8.0,-0.16,239.56,-4.0,-4.0,-8.0,-12.0,3704,-0.586,0.0245887,-47.48651643,2.79e-05,5.593956839,3.606181582,-4.553714536,962,6228,0,0,-0.110283159,-0.003003152,0.082883502,1,4,4,3.8134000000000015
2,6,10,10,0,0,2,100,72.0,5186.13,4.42359,11.1471,0.85933,0.67385047,23.2544,40.4924,1152.0,2.84,8.5683,4608,112.0,117.13,0.89,1.896666667,2.0,-4.0,-6.0,64.0,11.25,1.1125,1.8675,-1.75,-0.05,25.33333333,-9.333333333,-0.16,646.6,-9.0,-11.0,-7.0,-41.2,1704,-0.781,3.99e-05,-21.9514718,7.84e-06,0.64262749,3.342933523,-5.105718837,962,0,0,0,-0.110283159,-0.003003152,0.082883502,1,4,3,0.9349000000000001
2,6,7,0,0,0,2,160,120.0,5373.45,9.6087,0.0,0.416845,1.90488,30.08,66.5144,1296.0,3.92,14.1376,3996,101.5,126.71,0.9575,1.6275,2.0,0.75,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,-4.0,-0.32,0.0,0.0,0.0,0.0,0.0,2176,-0.373,2.38e-05,-17.82919661,6.11e-06,0.338661418,3.422662695,-5.2142432,962,702,0,971,-0.110283159,0.083073132,-0.129610464,2,2,2,-0.8443999999999998
2,6,10,10,0,9,3,80,72.0,2798.72,4.42782,0.0,1.10634,0.491099,29.293,38.555,6175.0,4.55,4.84,16120,106.2857143,153.68,0.508571429,1.625714286,1.142857143,-2.857142857,-5.142857143,0.0,0.0,0.0,0.0,0.0,0.0,34.28571429,-6.857142857,-0.091428571,0.0,0.0,0.0,0.0,0.0,2168,-0.565,0.00295481,-38.96338211,1.84e-05,4.583468667,4.60406693,-4.736290569,6228,702,0,0,-0.110283159,-0.089079437,0.295377468,1,3,3,2.181
2,6,10,10,1,0,3,80,48.0,9001.66,10.18861,0.0,0.9535,0.537556,30.272,54.67,8550.0,5.52,3.63,10944,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-6.0,-0.12,0.0,0.0,0.0,0.0,0.0,3384,-0.502,0.00028878,-35.56013289,5.7e-06,1.455594768,2.832318842,-5.243803733,962,6228,887,0,-0.110283159,0.083073132,-0.129610464,1,3,3,5.782200000000004
2,6,7,0,0,0,2,130,24.0,2146.62,4.10631,6.23211,1.16822,0.20943,34.2912,84.1864,1998.0,5.92,10.6032,3402,121.3333333,210.6533333,0.816666667,1.773333333,1.666666667,0.0,-6.2,49.0,20.0,0.735,0.98,-3.0,-0.03,88.0,-8.0,-0.2,1669.44,-9.0,-12.0,-18.0,-46.8,2592,-0.382,0.000159607,-29.41987792,2.18e-05,1.211012699,2.807201137,-4.662446901,962,6228,0,0,-0.110283159,0.083073132,-0.129610464,1,4,1,1.928699999999999
2,6,10,10,0,10,3,85,48.0,3682.53,5.85474,0.0,1.57516,0.130691,34.6724,52.59013333,3586.0,8.106666667,8.9304,26136,119.875,198.85,0.729,1.70225,1.575,-2.35,-6.0,7.0625,0.0,-0.05,0.0,0.0,0.0025,206.4,-26.4,-0.504,0.0,4.0,0.0,0.0,0.0,4856,-0.552,1.77e-05,-22.553596,5.67e-06,0.224989477,1.088535786,-5.246302064,962,6228,702,0,-0.110283159,-0.003003152,0.082883502,1,2,2,1.083
2,6,10,0,0,0,2,85,12.0,17890.7,6.71346,0.0,0.63164,1.14825,22.704,39.534,720.0,2.16,65.34,23040,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,64.0,28.0,1.78,5.15,-2.0,-0.08,48.0,-16.0,-0.32,2298.08,-24.0,-8.0,-16.0,-131.2,11664,-0.501,9.08e-05,-23.84229305,1.01e-05,1.34648462,4.554878457,-4.997173276,6228,13387,0,0,-0.110283159,-0.089079437,0.295377468,1,9,6,4.612800000000003
2,6,10,10,1,0,3,140,72.0,2235.36,3.57593,477.565,2.04735,0.0958213,36.476,76.538,8664.0,8.16,9.68,33288,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,64.0,6.0,0.89,0.89,-4.0,-0.04,36.0,-12.0,-0.24,718.68,-12.0,-12.0,-24.0,-36.0,2316,-0.776,0.0114683,-49.91973863,4.07e-06,1.662931404,0.812020792,-5.390050404,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1,4,4,0.4794000000000001
2,6,10,10,0,0,3,85,120.0,3354.18,5.68293,0.0,0.873364,0.735547,42.8624,24.2792,1176.0,2.6,12.6736,10976,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,32.0,3.0,0.445,0.445,-2.0,-0.02,24.0,-8.0,-0.16,239.56,-4.0,-4.0,-8.0,-12.0,2544,-0.458,5.57e-05,-17.76619599,2.08e-05,0.856625738,6.681693986,-4.681930401,12051,0,0,944,-0.110283159,-0.097046499,0.394733864,2,4,4,2.1464
1,6,10,0,0,0,2,85,24.0,15113.6,7.03158,0.0,0.59675,1.23905,26.144,45.524,696.0,2.44,21.66,5568,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-6.0,-0.12,0.0,0.0,0.0,0.0,0.0,3582,-0.418,5.68e-05,-20.84017628,1.51e-05,0.704267956,5.001432501,-4.820258677,6228,0,0,28118,-0.110283159,-0.089079437,0.295377468,2,4,4,3.1488000000000014
2,6,10,10,0,0,2,170,96.0,2589.75,3.45332,441.419,1.3024,0.140187,27.716,52.3562,1776.0,5.37,11.4244,7296,105.0,135.0,0.935,1.975,2.0,-1.5,-4.0,32.0,4.666666667,0.651666667,0.593333333,-1.333333333,0.04,64.0,-8.0,-0.32,542.72,-5.333333333,-8.0,-10.66666667,-32.0,3448,-0.442,5.44e-05,-25.05869996,1.11e-05,0.682612693,1.66864892,-4.956343052,962,0,0,14798,-0.110283159,0.083073132,-0.129610464,0,2,0,2.6519000000000004
2,6,10,10,0,0,2,120,72.0,3001.26,4.34629,0.0,1.17934,0.515746,34.8816,39.1911,1728.0,4.26,22.8488,18432,112.0,56.18,0.89,0.0,2.0,0.0,-6.0,18.28571429,0.571428571,0.254285714,0.254285714,0.0,-0.011428571,28.0,-28.0,-0.56,224.72,-8.0,-8.0,0.0,-24.0,112,-0.322,4.93e-05,-25.38094791,2.83e-06,0.636207648,1.470881081,-5.548686482,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1,2,2,-0.8443999999999998
2,6,10,0,0,0,2,80,48.0,1687.55,4.25008,1.26543,1.48751,0.213001,19.206,43.329,2850.0,1.66,10.89,3240,101.5,101.7,0.445,1.135,1.0,-2.5,-4.95,56.5,9.0,0.69,0.69,-3.0,-0.03,12.0,-3.0,-0.04,287.02,-3.0,-3.0,-6.0,-9.9,708,-0.739,0.00098392,-35.14872557,1.23e-05,4.52409384,2.295599974,-4.911782378,962,6228,0,0,0.556383507,0.054733945,-0.246392443,1,5,3,0.2630999999999999
2,6,7,0,0,0,2,90,72.0,10560.4,2.8039,237.641,1.3218,0.0733695,30.832,53.6176,972.0,2.94,56.5504,16416,108.5,118.35,0.935,1.555,2.0,-2.0,-2.05,59.0,17.33333333,1.231666667,2.088333333,0.0,-0.053333333,224.0,-32.0,-1.28,6552.426667,-42.66666667,0.0,0.0,-286.9333333,15904,-0.427,0.00031277,-31.3406235,4.07e-05,1.170535716,1.20877596,-4.390555005,962,6228,0,0,-0.110283159,-0.003003152,0.082883502,1,5,1,3.502900000000002
2,6,10,0,0,0,2,65,24.0,5857.6,5.42884,0.0,0.862455,0.72994,19.866,37.43025,1530.0,1.89,32.67,10080,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,64.0,6.0,0.89,0.89,-4.0,-0.04,24.0,-8.0,-0.16,479.12,-8.0,-8.0,-16.0,-24.0,5184,-0.579,0.00194217,-37.01772894,2.39e-05,4.301878775,6.215362809,-4.621862027,962,6228,887,0,0.223050174,-0.134252378,-0.237274718,1,6,6,4.876800000000002
2,6,5,0,0,0,2,100,72.0,3221.47,3.64523,415.713,1.37123,0.185454,24.88266667,43.32766667,700.0,2.893333333,28.83,11200,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,64.0,6.0,0.89,0.89,-4.0,-0.04,48.0,-16.0,-0.32,958.24,-16.0,-16.0,-32.0,-48.0,3024,-0.494,0.0734801,-50.30296684,9e-06,5.743681493,2.6032273,-5.045772932,962,6228,0,313,-0.110283159,-0.003003152,0.082883502,2,4,4,0.4794000000000001
2,6,10,0,0,0,2,110,72.0,7494.73,7.01697,0.0,1.37403,0.354913,21.5688,67.9932,4056.0,2.048,54.45,18240,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,-16.0,-0.32,0.0,0.0,0.0,0.0,0.0,2448,-1.342,0.000523084,-35.06452615,1.1e-05,2.168164718,3.185231003,-4.959180172,6228,0,0,944,-0.110283159,-0.089079437,0.295377468,2,3,3,0.7812000000000001
2,6,10,0,0,0,2,110,60.0,5189.23,5.15214,0.0,1.0803,0.468224,22.704,63.7065,3240.0,1.62,43.56,15360,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,-16.0,-0.32,0.0,0.0,0.0,0.0,0.0,4640,-0.949,0.00186948,-36.44206942,1.5e-05,5.024356429,4.396283799,-4.823518052,6228,0,0,0,-0.110283159,-0.089079437,0.295377468,1,3,3,2.448200000000001
2,6,10,10,0,9,3,140,72.0,8118.0,6.67773,0.0,1.18884,0.286111,26.488,35.75,6565.0,5.46,4.84,14560,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,64.0,28.0,1.78,5.15,-2.0,-0.08,24.0,-8.0,-0.16,1149.04,-12.0,-4.0,-8.0,-65.6,6600,-0.944,0.000243358,-32.73147814,1.23e-05,1.676923076,3.388760093,-4.90981957,6228,0,0,0,-0.110283159,-0.089079437,0.295377468,1,6,3,6.443460000000006
