D_func-S-2-all,D_func-S-3-all,f-lig-T-1,sum-lc-T-2-all,sum-lc-alpha-0-all,sum-D_lc-S-1-all,sum-D_lc-S-2-all,sum-D_lc-S-3-all,sum-D_lc-alpha-3-all,sum-func-chi-0-all,sum-func-Z-0-all,sum-func-Z-3-all,sum-D_func-chi-1-all,sum-D_func-chi-2-all,sum-D_func-T-1-all,sum-D_func-T-3-all,sum-f-lig-I-0,MNC,MPC,pure_CO2_kH,pure_CO2_widomHOA,pure_methane_kH,pure_methane_widomHOA,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_580000
-0.033333333,0.123333333,443.3333333,104.0,443.76,-0.48,2.56,3.333333333,-113.7333333,84.3008,452.0,1270.0,9.16,9.44,-8.0,-32.0,356,-1.112,1.22,0.000243553,-33.43516457,1.53e-05,-18.55105938,0.945413393,1.818801648
-0.016,-0.016,202.0,64.0,238.24,-0.186666667,2.08,2.153333333,-4.9,18.4832,98.0,168.0,0.0,1.96,0.0,-4.0,82,-0.458,1.072,0.00024638,-28.14840793,4.46e-05,-21.15411924,1.984171506,4.118456868
0.2,0.44,420.0,144.0,550.44,-0.48,5.6,5.6,-32.8,121.2672,648.0,1504.0,11.4,22.04,-24.0,-24.0,376,-0.485,1.185,0.00979458,-46.93075383,2.94e-05,-21.04160818,2.100366052,2.548677048
0.0,0.0,21.5,36.0,449.44,-5.92,-0.16,0.0,0.0,57.0288,13068.0,0.0,-40.32,0.0,56.0,0.0,68,-0.414,1.248,2.75e-05,-25.48920732,1.32e-06,-15.05836042,0.355017141,0.571679044
1.331851852,1.805185185,448.0,115.8787879,390.7490909,-2.294545455,0.116363636,6.066666667,-185.8121212,95.26553333,5188.0,5826.666667,-11.21777778,8.948888889,19.11111111,56.88888889,396,-0.954,2.09,8.21e-05,-36.10940015,2.25e-06,-15.24818032,0.57413783,0.673647063
-0.01,-0.02,258.5,104.0,520.56,-0.64,1.84,-0.293333333,-194.2666667,47.3344,256.0,384.0,3.56,3.56,-8.0,-12.0,336,-0.574,1.244,9e-05,-23.06758671,2.4e-05,-17.68921484,1.181194488,4.963550869
-0.02,-0.04,150.0,144.0,627.24,-0.64,4.426666667,4.186666667,-99.33333333,94.6688,512.0,768.0,7.12,7.12,-16.0,-32.0,208,-0.387,1.203,0.00313782,-39.55784873,6.21e-05,-21.78412208,3.751408597,3.905230557
0.0,0.0,207.6,65.33333333,238.24,-0.2,2.333333333,2.153333333,-4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,-0.483,1.067,0.000254323,-28.4560252,4.54e-05,-20.96197445,2.09258002,4.309120552
-0.08,1.22,604.0,84.0,331.4,-0.32,2.72,4.08,-37.2,84.3008,452.0,1592.0,9.44,15.32,-8.0,24.0,332,-0.416,1.077,0.000250612,-30.90548035,6.33e-05,-25.47157463,1.360781558,1.973775304
-0.02,0.04,195.0,80.0,331.4,-0.2,-0.24,4.2,-21.0,45.2608,244.0,385.6,1.816,3.632,-3.2,-9.6,120,-1.777,0.932,1.51e-05,-33.261744,5.72e-06,-23.90760845,0.210663609,1.423115378
-0.013333333,-0.026666667,286.0,72.0,275.22,-0.24,2.8,2.8,-16.4,23.6672,128.0,192.0,1.78,1.78,-4.0,-8.0,134,-1.039,1.183,0.00671189,-45.90588359,1.51e-05,-21.807366,4.147151478,1.605949397
-0.035,0.21,450.0,144.0,887.52,-0.64,-0.8,-1.44,-223.2,237.3504,1266.0,3012.0,22.14,20.04,-12.0,-36.0,816,-0.594,0.922,1.61e-05,-14.46228238,5.73e-06,-8.766103564,0.236572991,2.760867056
3.12,9.44,840.0,8.0,56.18,-0.08,-0.08,-0.16,-24.0,7.22,392.0,1568.0,-5.2,-10.4,8.0,64.0,122,-0.427,0.91,6.17e-05,-27.32590317,1.87e-05,-22.53887995,0.815159947,3.940961317
0.0,0.0,216.0,16.0,112.36,-0.16,-0.16,-0.32,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,-0.61,0.931,3.61e-05,-18.92274136,9.84e-06,-13.18755461,0.54981056,3.622060639
-0.04,-0.08,2053.333333,24.66666667,168.54,-0.24,-0.24,-0.24,-71.46666667,71.0016,384.0,576.0,7.82,5.34,-8.0,-20.0,854,-0.772,1.235,3.93e-05,-17.43511647,1.49e-05,-13.01601817,0.575107527,5.921926257
0.973333333,0.44,525.3333333,74.0,275.22,-0.24,2.88,2.8,-12.8,60.6336,324.0,660.0,7.66,19.14,-8.0,-10.0,216,-0.434,1.058,0.000263755,-31.89796999,2.89e-05,-22.57949116,2.470761156,3.278507508
0.0,0.0,158.0,120.0,401.088,0.432,3.168,6.912,15.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,-0.568,2.281,2.9e-05,-21.59231621,1.39e-05,-18.02658579,0.363795559,1.81574113
-0.024,-0.032,135.6,136.0,494.26,-0.24,-0.24,8.96,45.6,97.6,520.0,528.0,1.78,5.7,-4.0,-24.0,116,-1.015,1.177,0.00440253,-40.71103192,1.67e-05,-17.29737134,3.247106844,2.423275818
-0.048,0.068,522.0,24.0,168.54,-0.24,-0.24,-0.48,-72.0,67.8912,366.0,729.6,5.448,6.624,-12.0,-22.8,234,-0.364,0.941,5.79e-05,-22.65322216,1.63e-05,-17.0224459,0.794916632,3.42824123
0.095,0.07,220.0,48.0,221.88,-0.74,-0.24,-0.44,-71.4,59.3478,649.5,765.0,2.715,4.23,-7.5,-19.5,102,-0.539,1.213,1.74e-05,-17.58949944,6.93e-06,-13.75880038,0.266628316,2.353692588
-0.04,-0.08,216.0,16.0,112.36,-0.16,-0.16,-0.32,-48.0,47.3344,256.0,384.0,3.56,3.56,-8.0,-16.0,72,-0.478,1.233,0.00013296,-27.02222477,1.06e-05,-13.32773775,1.731003068,3.96383453
1.537777778,1.031111111,608.0,72.0,275.22,-0.24,2.8,2.8,-16.4,60.6336,324.0,910.6666667,8.253333333,30.66,-16.66666667,25.33333333,256,-0.458,1.208,7.13e-05,-31.67538338,3.54e-06,-21.11512074,0.759889835,1.017601803
0.0,0.0,282.0,48.0,221.88,-0.24,1.28,1.16,-44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,-0.459,1.155,0.000154583,-24.71754272,4.11e-05,-19.38109191,1.780831686,4.567792789
0.7,1.1,384.0,20.0,82.85,-0.08,0.7,0.28,-13.0,18.4832,98.0,210.0,2.94,6.3,0.0,12.0,56,-0.469,1.107,0.00321862,-41.64787736,4.75e-05,-24.00750113,3.005161549,2.688106588
-0.026666667,-0.053333333,389.0,240.0,887.52,-0.96,4.96,18.24,-52.0,94.6688,512.0,1536.0,17.04,14.24,0.0,-32.0,552,-1.45,1.242,5.91e-05,-28.37241982,8.97e-06,-21.49823442,0.441569556,0.696917666
-0.04,-0.08,216.0,24.0,168.54,-0.24,-0.24,-0.48,-72.0,71.0016,384.0,576.0,5.34,5.34,-12.0,-24.0,108,-0.792,1.243,2e-05,-23.69695536,8.29e-06,-19.65718497,0.222011831,0.583245249
0.236666667,0.144444444,448.6666667,72.0,275.22,-0.24,2.8,2.8,-16.4,60.6336,324.0,1046.0,6.686666667,15.06,-7.666666667,-13.66666667,202,-0.468,1.175,6.78e-05,-23.49470464,2.03e-05,-18.53236841,0.775348843,2.083610386
-0.04,-0.08,216.0,32.0,224.72,-0.32,-0.32,-0.64,-96.0,94.6688,512.0,768.0,7.12,7.12,-16.0,-32.0,144,-0.663,1.233,0.000124761,-28.3736712,9.41e-06,-13.42138668,1.180967509,3.611666966
0.0,0.0,576.0,8.0,56.18,-0.08,-0.08,-0.16,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,-0.722,1.254,4.03e-05,-20.75005327,1.4e-05,-15.04758626,0.58858217,4.093142643
0.0,0.0,2.0,0.0,912.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,-0.706,0.822,9.49e-06,-20.29579051,1.08e-06,-10.62989462,0.128655884,0.581489522
0.33,0.72,258.0,58.66666667,295.84,-0.32,1.813333333,-0.48,-74.4,73.9328,392.0,784.0,5.88,16.52,-4.0,20.0,160,-0.389,1.219,0.000106499,-22.21238056,3.44e-05,-18.10424391,1.256716627,3.172488856
-0.04,-0.08,390.0,96.0,674.16,-0.96,-0.96,-1.92,-288.0,284.0064,1536.0,2304.0,21.36,21.36,-48.0,-96.0,720,-0.522,1.251,6.89e-05,-27.71371026,5.41e-06,-13.43867843,0.816788049,2.004120277
-0.053333333,0.273333333,480.0,16.0,112.36,-0.16,-0.16,-0.24,-32.4,43.8784,236.0,801.3333333,4.333333333,4.986666667,-5.333333333,-8.0,136,-1.272,1.238,0.000809252,-37.32369759,1.07e-05,-18.6537465,2.426470094,1.972054693
0.272,0.104,159.2,80.0,387.58,-0.32,1.2,1.04,-60.4,107.968,580.0,800.0,10.66,14.02,-4.0,-12.0,136,-0.467,0.926,0.000106759,-27.08312242,3.9e-05,-22.76246234,0.789881339,1.562257586
0.0,0.0,366.0,16.0,112.36,-0.16,-0.16,-0.32,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,-0.55,1.228,0.000612317,-37.3479068,2.14e-05,-21.62604061,2.000308162,1.73686237
0.0,0.0,68.0,72.0,328.56,-0.16,2.96,1.52,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,-0.699,1.233,2.3e-05,-19.52352961,6.24e-06,-13.54368868,0.351717207,1.648113363
-0.08,-0.32,2286.0,24.0,168.54,-0.24,-0.24,-0.48,-72.0,71.0016,384.0,2304.0,5.34,10.68,-12.0,-180.0,396,-0.406,0.905,0.000146328,-23.9558083,3.86e-05,-18.45280882,1.281108388,5.63410191
0.6,0.52,952.0,8.0,56.18,-0.08,-0.08,-0.16,-24.0,23.6672,128.0,512.0,3.56,10.3,-6.0,-12.0,138,-0.422,0.9,2.02e-05,-13.4641689,8.94e-06,-9.801059257,0.305006189,4.714531956
0.0,0.0,540.0,8.0,56.18,-0.08,-0.08,-0.16,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,-0.442,0.533,0.00207561,-40.13029779,1.6e-05,-21.55147354,2.680712072,2.201490913
0.0,0.0,972.0,64.0,449.44,-0.64,-0.64,-1.28,-192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056,-0.49,1.256,8.28e-05,-22.24818377,1.19e-05,-12.21068052,1.18188706,4.624739655
-0.12,-0.12,2644.0,8.0,56.18,-0.08,-0.08,-0.16,-24.0,23.6672,128.0,288.0,3.56,5.34,-2.0,-8.0,238,-0.5,0.934,4.24e-05,-18.35781199,1.43e-05,-13.68857404,0.569495835,4.791667165
-0.026666667,-0.053333333,230.0,48.0,221.88,-0.24,1.28,1.16,-44.2,47.3344,256.0,384.0,3.56,3.56,-8.0,-16.0,112,-0.571,0.888,0.000843652,-34.33828257,9.29e-06,-18.27113579,2.255115687,1.603831579
0.72,1.12,364.0,112.0,438.08,-0.32,6.08,-0.16,-31.2,73.9328,392.0,504.0,5.88,21.28,-8.0,24.0,208,-0.277,1.032,0.000102809,-27.16360355,1.1e-05,-14.17801864,1.491358832,4.488340359
0.466666667,0.733333333,250.6666667,70.0,275.22,-1.02,2.96,1.44,-4.0,44.1864,588.0,420.0,-6.44,12.6,24.0,24.0,114,-0.805,1.988,5.89e-05,-34.69919593,1.44e-06,-16.57871029,0.427206371,0.384489145
0.34,-0.06,374.0,34.0,109.52,-0.06,0.68,0.28,-16.6,18.4832,98.0,350.0,2.66,3.64,4.0,2.0,56,-0.618,1.133,0.00269576,-44.54334965,7.72e-06,-23.37310204,2.246178223,1.25408873
-0.026666667,-0.053333333,724.0,12.0,84.27,-0.12,-0.12,-0.24,-36.0,23.6672,128.0,192.0,1.78,1.78,-4.0,-8.0,156,-0.572,1.831,0.000849234,-39.32140212,1.75e-05,-18.04880488,2.744808739,3.220132757
0.164444444,0.084444444,51.33333333,224.0,1224.6,-1.44,4.8,3.04,23.2,73.9328,392.0,56.0,7.84,17.36,-16.0,8.0,232,-0.434,2.001,0.000647836,-34.89075798,1.69e-05,-17.76393347,2.789113869,2.846446041
0.175,0.1675,359.0,92.0,331.4,2.8,2.8,5.84,21.2,42.1504,226.0,662.0,4.23,6.12,-8.0,-5.0,228,-0.459,0.907,0.000339832,-40.23943366,3.58e-07,-15.18623506,0.828825774,0.202009405
-0.02,0.38,54.0,80.0,438.08,-0.106666667,1.973333333,1.013333333,7.733333333,73.9328,392.0,56.0,0.0,3.92,0.0,8.0,48,-0.624,0.899,7.54e-05,-35.56646607,9.92e-06,-22.83917839,0.71309558,2.266678494
0.0,0.0,1040.0,888.0,332.82,-0.6,6.24,6.36,-19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174,-0.455,1.147,0.000138311,-24.1993506,3.56e-05,-18.46480127,1.368612052,5.232922991
0.345,0.34,472.0,29.33333333,147.92,-0.133333333,0.373333333,0.293333333,-28.13333333,39.5584,211.0,510.0,3.69,6.7,-1.0,2.0,144,-0.437,1.224,0.000114358,-26.44155571,1.93e-05,-18.84025816,1.542212703,3.559156957
-0.05,0.46,372.0,25.6,133.696,-0.16,0.448,0.336,-36.88,42.1504,226.0,668.0,5.42,4.72,0.0,-4.0,116,-0.478,1.217,0.000123462,-22.0798302,3.19e-05,-16.85638101,1.77877595,6.296513279
0.0,0.0,294.0,48.0,337.08,-0.48,-0.48,-0.96,-144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264,-0.957,1.214,0.000682891,-36.70564917,1.28e-05,-14.82792915,2.093006501,4.331694725
-0.013333333,-0.02,118.0,25.33333333,106.495,-0.12,0.18,0.263333333,-6.783333333,11.8336,64.0,104.0,0.89,0.89,-2.0,-3.0,34,-0.813,1.904,0.00098113,-41.29990111,7.83e-06,-16.33702923,2.626793503,1.987130078
-0.016,-0.032,158.4,88.0,387.58,-0.4,2.64,2.56,-48.8,47.3344,256.0,384.0,3.56,3.56,-8.0,-16.0,136,-0.448,1.129,6.73e-05,-20.36171447,2.4e-05,-16.25123437,0.986592624,4.047339189
-0.12,2.16,540.0,32.0,224.72,-0.32,-0.32,-0.64,-96.0,73.9328,392.0,2352.0,11.76,23.52,0.0,96.0,320,-0.527,1.212,0.001172,-38.27896874,2.23e-05,-17.24901429,2.969987687,4.532373294
0.0,0.0,182.0,74.66666667,331.4,-0.213333333,-0.32,0.533333333,-71.46666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,-0.519,1.21,0.000325304,-30.2336343,2.58e-05,-18.37857557,2.196048042,3.482054374
0.0,0.0,384.0,152.0,662.8,-2.64,5.76,5.92,15.2,80.86293333,1024.0,0.0,-4.586666667,0.0,16.0,0.0,424,-0.513,1.216,0.0538782,-52.00285502,1.58e-05,-19.01770712,4.277646056,2.419166149
0.0,0.0,258.0,64.0,219.04,-0.16,2.88,2.96,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,-0.636,0.862,0.000121759,-28.15508822,4.22e-05,-23.57251438,0.986863716,2.029586716
5.7,7.485,480.0,256.0,876.16,-0.64,11.52,11.84,30.4,57.76,3136.0,7056.0,-41.6,-78.8,32.0,424.0,520,-1.345,1.372,0.000202723,-29.09990674,7.35e-05,-24.48573244,1.539193152,3.022174127
-0.026666667,0.086666667,180.0,16.66666667,117.47,-0.08,-0.106666667,-0.2,-29.4,18.4832,98.0,308.0,0.98,1.96,-4.0,-12.0,46,-0.53,1.711,0.00156613,-37.69552573,7.27e-06,-12.48322471,3.141646324,2.556719378
0.06,0.34,227.0,168.0,662.8,-0.64,5.44,9.44,-24.26666667,94.6688,512.0,1024.0,12.08,15.64,-12.0,0.0,296,-0.391,0.923,0.000184304,-26.89833998,5.01e-05,-21.45791735,1.271399177,2.331689416
0.37,0.26,498.0,10.0,56.18,-0.08,-0.08,1.36,-8.8,21.0752,113.0,374.0,2.36,2.17,-3.0,-8.0,72,-0.513,0.963,2.4e-05,-19.18130119,6.51e-06,-12.48242441,0.350764134,3.266687005
-0.008,-0.008,126.8,69.6,280.9,-0.432,-0.448,-0.096,-14.4,23.6672,128.0,224.0,0.0,1.78,-2.0,-6.0,84,-0.43,1.257,8.02e-05,-25.47986298,1.38e-05,-18.48602894,0.773277662,1.4022283
0.888,0.672,226.4,108.0,440.92,-1.56,4.44,2.16,-6.0,74.634,1194.0,378.0,-11.18,26.04,42.0,30.0,172,-0.515,1.336,1.56e-05,-28.6745061,1.22e-06,-16.04133463,0.186682626,0.398008983
-0.04,0.064,1208.0,16.0,112.36,-0.16,-0.16,-0.32,-48.0,47.3344,256.0,396.8,5.544,3.56,-4.8,-12.8,344,-0.659,1.471,0.0109504,-45.49376564,5.1e-05,-20.55983143,5.403735861,4.234173555
1.168,1.184,427.2,68.0,668.48,-0.64,-0.64,-1.28,-192.0,184.832,980.0,1792.0,23.52,77.28,-8.0,112.0,620,-0.506,1.32,0.00303552,-43.41698951,6.02e-05,-24.54285427,4.079910126,5.171716159
0.4,0.411111111,177.5555556,42.0,252.81,-1.42,-0.4,3.2,-52.0,65.3924,1145.0,280.0,-17.1,13.3,58.0,20.0,130,-0.688,2.031,0.215902,-58.5213506,1.24e-06,-13.57481881,1.583165058,0.433321659
0.232,0.766,296.0,224.0,876.16,-0.4,7.2,4.24,-27.6,156.16,832.0,1630.4,12.592,22.448,-4.8,24.0,368,-0.273,0.857,3.5e-05,-17.73427901,1.02e-05,-11.57145039,0.524495077,4.57653028
0.055,-8.33e-17,261.0,80.0,331.4,-0.32,2.72,1.04,-67.6,89.4848,482.0,1024.0,8.98,8.98,-8.0,-28.0,168,-0.391,0.904,4.31e-05,-24.62322082,1.01e-05,-18.15818035,0.572393371,1.652646797
1.44,0.64,656.0,8.0,56.18,-0.08,-0.08,-0.16,-24.0,18.4832,98.0,532.0,2.94,10.64,-4.0,8.0,96,-0.41,0.896,5.5e-05,-19.87834015,1.35e-05,-13.10641277,0.834977093,5.42558488
